NetworkType,TcpVariant,VariedParam,NumNodes,NumFlows,PktPerSec,NodeSpeed,CoverageMultiplier,ThroughputMbps,AvgDelayMs,PDR,DRR,EnergyJ
wireless,rtt-aware,numNodes,80,30,300,15.0,3,0.0,0.0,0.0,0.0,144.001968
wireless,rtt-aware,numNodes,100,30,300,15.0,3,0.0,0.0,0.0,0.0,180.001968
wireless,rtt-aware,numFlows,60,10,300,15.0,3,0.0,0.0,0.0,0.0,108.000656
wireless,rtt-aware,numFlows,60,20,300,15.0,3,0.0,0.0,0.0,0.0,108.001312
wireless,rtt-aware,numFlows,60,40,300,15.0,3,0.0,0.0,0.0,0.0,108.002624
wireless,rtt-aware,numFlows,60,50,300,15.0,3,0.0,0.0,0.0,0.0,108.00328
wireless,rtt-aware,pktPerSec,60,30,100,15.0,3,0.0,0.0,0.0,0.0,108.001968
wireless,rtt-aware,pktPerSec,60,30,200,15.0,3,0.0,0.0,0.0,0.0,108.001968
wireless,rtt-aware,pktPerSec,60,30,400,15.0,3,0.0,0.0,0.0,0.0,108.001968
wireless,rtt-aware,pktPerSec,60,30,500,15.0,3,0.0,0.0,0.0,0.0,108.001968
wireless,rtt-aware,nodeSpeed,60,30,300,5.0,3,0.0,0.0,0.0,0.0,96.001968
wireless,rtt-aware,nodeSpeed,60,30,300,10.0,3,0.0,0.0,0.0,0.0,102.001968
wireless,rtt-aware,nodeSpeed,60,30,300,20.0,3,4.2e-05,10.458831,0.011111,0.0,114.00198
wireless,rtt-aware,nodeSpeed,60,30,300,25.0,3,0.0,0.0,0.0,0.0,120.001968
